,id,fullName,shortName,city,country,longitude,latitude
95,306,BKSP Cricket Ground 4,BKSP Cricket Ground 4,Dhaka,Bangladesh,,
96,307,Sheikh Kamal International Cricket Stadium,Sheikh Kamal International Cricket Stadium,Cox's Bazar,Bangladesh,,
97,308,Sheikh Kamal International Cricket Stadium Academy Ground,Sheikh Kamal International Cricket Stadium Academy Ground,Cox's Bazar,Bangladesh,,
98,309,Sylhet District Stadium,Sylhet District Stadium,Sylhet,Bangladesh,,
99,310,Thailand Cricket Ground,Thailand Cricket Ground,Bangkok,Thailand,,
0,311,Asian Institute of Technology Ground,Asian Institute of Technology Ground,Bangkok,Thailand,,
1,312,Ajman Oval Ground,Ajman Oval Ground,Ajman,United Arab Emirates,,
2,313,Tin Kwong Road Recreation Ground,Mission Road,Mong Hok,Hong Kong,,
3,314,Tony Ireland Stadium,Tony Ireland Stadium,Townsville,Australia,,
5,316,PCA Cricket Stadium,PCA Cricket Stadium,Mohali,India,,
8,319,Greater Noida Sports Complex Ground,Greater Noida Sports Complex Ground,Uttar Pradesh,India,,
9,320,Tribhuvan University Oval,Tribhuvan University Oval,Kirtipur,Nepal,,
10,321,Amini Park,Amini Park,Port Moresby,Papua New Guinea,,
12,323,Garon Park,Garon Park,Southend,England,,
13,324,Hong Kong Cricket Club,Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong,,
14,325,Kowloon Cricket Club,Kowloon Cricket Club,Kowloon,Hong Kong,,
15,326,Sportpark Thurlede,Sportpark Thurlede,Schiedam,Netherlands,,
16,327,Central Broward Regional Park Stadium Turf Ground,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA,,
17,328,Gardet,Gardet,Stockholm,Sweden,,
18,329,Skarpnack One,Skarpnack One,Stockholm,Sweden,,
19,330,Skarpnack Two,Skarpnack Two,Stockholm,Sweden,,
20,331,Kelab Aman,Kelab Aman,Kuala Lumpur,Malaysia,,
21,332,The Spitfire Ground,The Spitfire Ground,Beckenham,England,,
22,333,Old Deer Park,Old Deer Park,Richmond,England,,
23,334,Arundel Castle,Arundel Castle,Arundel,England,,
24,335,Uxbridge Cricket Ground,Uxbridge Cricket Ground,Uxbridge,England,,
25,336,Queen's Park,Queen's Park,Chesterfield,England,,
26,337,College Ground,College Ground,Cheltenham,England,,
27,338,Welbeck Colliery CC,Welbeck Colliery CC,Nettleworth,England,,
28,339,Cricketfield Road,Cricketfield Road,Horsham,England,,
29,340,Stanley Park,Stanley Park,Blackpool,England,,
30,341,Radlett Cricket Club,Radlett Cricket Club,Radlett,England,,
31,342,Woodbridge Road,Woodbridge Road,Guildford,England,,
32,343,Aigburth,Aigburth,Liverpool,England,,
33,344,Castle Park,Castle Park,Colchester,England,,
34,345,Rugby School,Rugby School,Rugby,England,,
35,346,Merchant Taylors' School,Merchant Taylors' School,Northwood,England,,
36,347,Trafalgar Road Ground,Trafalgar Road Ground,Southport,England,,
37,348,Colwyn Bay,Colwyn Bay,Colwyn Bay,Wales,,
38,349,Roseworth Terrace,Roseworth Terrace,Gosforth,England,,
39,350,Haslegrave Ground,Haslegrave Ground,Loughborough,England,,
40,351,Bristol County Ground,Bristol County Ground,Bristol ,England,0.0,0.0
41,352,Trelawny Stadium,Trelawny Stadium,Trelawny,Jamaica,,
42,353,The Severn,The Severn,Los Angeles,USA,,
43,354,The Wright,The Wright,Los Angeles,USA,,
44,355,The Wong,The Wong,Los Angeles,USA,,
45,356,Simonds Stadium,Simonds Stadium,Geelong,Australia,,
46,357,Mulapudu Cricket Ground,Mulapudu Cricket Ground,Vijayawada,India,,
47,358,Terdthai Cricket Ground,Terdthai Cricket Ground,Bangkok,Thailand,,
48,359,The Saffrons,The Saffrons,Eastbourne,England,,
49,360,Colombo Cricket Club,Colombo Cricket Club,Colombo,Sri Lanka,,
50,361,Mercantile Cricket Association,Mercantile Cricket Association,Colombo,Sri Lanka,,
51,362,Richmond Cricket Ground,Richmond Cricket Ground,Middlesex,England,,
52,363,York Cricket Club,York Cricket Club,York,England,,
53,364,Queen Elizabeth Oval,Queen Elizabeth Oval,Bendigo,Australia,,
54,365,Dower Park,Dower Park,Bendigo,Australia,,
55,366,Canterbury Park,Canterbury Park,Bendigo,Australia,,
56,367,Weeroona Oval,Weeroona Oval,Bendigo,Australia,,
57,368,White Hills Oval,White Hills Oval,Bendigo,Australia,,
58,369,Strathfieldsaye,Strathfieldsaye,Bendigo,Australia,,
59,370,ICC Academy Oval 2,ICC Academy Oval 2,Dubai,United Arab Emirates,,
60,371,Welagedara Stadium,Welagedara Stadium,Kurunegala,Sri Lanka,,
61,372,Fenner's,Fenner's,Cambridge,England,,
62,373,Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium,Pune,India,,
63,374,M.Chinnaswamy Stadium,M.Chinnaswamy Stadium,Bangalore,India,,
64,375,JSCA International Stadium Complex,JSCA International Stadium Complex,Ranchi,India,,
65,376,Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,,
67,378,C.ex International Stadium,C.ex International Stadium,Coffs Harbour,Australia,,
68,379,Greater Noida Sports Complex Ground,Greater Noida Sports Complex Ground,Greater Noida,India,,
69,380,P Sara Oval,P Sara Oval,Colombo,Sri Lanka,,
70,381,The Parks,The Parks,Oxford,England,,
71,382,Weetwood Playing Fields,Weetwood Playing Fields,Leeds,England,,
72,383,North-West University Ground,North-West University Ground,Potchefstroom,South Africa,0.0,0.0
73,384,Willowmoore Park B,Willowmoore Park B,Benoni,South Africa,0.0,0.0
74,385,Willowmoore Park C,Willowmoore Park C,Benoni,South Africa,0.0,0.0
75,386,Prem Tinsulanonda International School,Prem Tinsulanonda International School,Chiang Mai,Thailand,0.0,0.0
76,387,Gymkhana Club,Gymkhana Club,Chiang Mai,Thailand,0.0,0.0
77,388,Royal Chiangmai Golf Club,Royal Chiangmai Golf Club,Chiang Mai,Thailand,0.0,0.0
78,389,Sano International Cricket Ground,Sano International Cricket Ground,Sano,Japan,0.0,0.0
79,390,Traeger Park,Traeger Park,Alice Springs,Australia,,
80,391,The Village,The Village,Dublin,Ireland,,
81,392,Clontarf Cricket Club,Clontarf Cricket Club,Dublin,Ireland,,
82,393,The Grange,The Grange,Edinburgh,Scotland,,
83,394,Brisbane Cricket Ground,Brisbane Cricket Ground,Brisbane,Australia,,
84,395,Blundstone Arena,Blundstone Arena,Hobart,Australia,,
85,396,Oakham School,Oakham School,Oakham,England,,
86,397,Tolerance Oval,Tolerance Oval,Abu Dhabi,United Arab Emirates,,
87,398,Lugogo Cricket Oval,Lugogo Cricket Oval,Kampala,Uganda,,
88,399,Entebbe Cricket Oval,Entebbe Cricket Oval,Entebbe,Uganda,,
89,400,Kyambogo Cricket Oval,Kyambogo Cricket Oval,Kampala,Uganda,,
90,401,Sportpark Maarschalkerweerd,Sportpark Maarschalkerweerd,Utrecht,Netherlands,,
91,402,Sportpark Westvliet,Sportpark Westvliet,Den Haag,Netherlands,,
93,404,Chester Boughton Hall CC,Chester Boughton Hall CC,Chester,England,,
94,405,Grapenhall CC,Grapenhall CC,Warrington,England,,
95,406,Nantwich CC,Nantwich CC,,England,,
96,407,Bramhall CC,Bramhall CC,Stockport,England,,
97,408,Tattenhall CC,Tattenhall CC,,England,,
98,409,Oxton CC,Oxton CC,Birkenhead,England,,
99,410,Neston CC,Neston CC,,England,,
0,411,Toft CC,Toft CC,,England,,
1,412,Brian Lara Cricket Academy,Brian Lara Cricket Academy,Tarouba,Trinidad & Tobago,,
2,413,Faleata Oval No 1,Faleata Oval No 1,Apia,Samoa,,
3,414,Faleata Oval No 2,Faleata Oval No 2,Apia,Samoa,,
4,415,Jaffery Sports Club Ground,Jaffery Sports Club Ground,Nairobi,Kenya,,
5,416,Maple Leaf Cricket Club,Maple Leaf Cricket Club,Toronto,Canada,,
6,417,Toronto Cricket Club,Toronto Cricket Club,Toronto,Canada,,
7,418,Trelawny Stadium,Trelawny Stadium,Greenfields,Jamaica,,
8,419,Coolidge Cricket Ground,Coolidge Cricket Ground,Coolidge,Antigua,,
10,421,Lindisfarne Oval,Lindisfarne Oval,Hobart,Australia,,
11,422,Christ's College,Christ's College,Christchurch,New Zealand,,
12,423,Hagley Park No 2,Hagley Park No 2,Christchurch,New Zealand,,
13,424,Hagley Park No 4,Hagley Park No 4,Christchurch,New Zealand,,
14,425,Lincoln Green,Lincoln Green,Christchurch,New Zealand,,
15,426,Hagley Park No 5,Hagley Park No 5,Christchurch,New Zealand,,
16,427,Cobham Oval,Cobham Oval,Whangarei,New Zealand,,
17,428,Rangiora,Rangiora,Christchurch,New Zealand,,
18,429,Cazaly's Stadium,Cazaly's Stadium,Cairns,Australia,,
19,430,Drummoyne Oval,Drummoyne Oval,Sydney,Australia,,
20,431,Spotless Stadium,Spotless Stadium,Sydney,Australia,,
21,432,Etihad Stadium,Etihad Stadium,Melbourne,Australia,,
22,433,University of Tasmania Stadium,University of Tasmania Stadium,Launceston,Australia,,
24,435,Mainpower Oval,Mainpower Oval,Rangiora,New Zealand,,
25,436,Molyneux Park,Molyneux Park,Alexandra,New Zealand,,
27,438,Lincoln No. 3,Lincoln No. 3,Christchurch,New Zealand,,
28,439,Sahara Main Oval,Sahara Main Oval,Kingsmead,South Africa,,
29,440,Brisbane,Brisbane,Brisbane,Australia,,
30,441,Barsapara Cricket Ground,Barsapara Cricket Ground,Guwahati,India,,
31,442,Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium,Hyderabad,India,,
32,443,Willowmoore Park A,Willowmoore Park A,Benoni,South Africa,,
