,id,fullName,shortName,city,country,longitude,latitude
95,1009,VB Nest Ground,VB Nest Ground,Chennai,India,,
96,1010,Tribhuvan University International Cricket Ground,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,,
97,1011,Darlington Cricket Club,Darlington Cricket Club,Darlington,England,,
98,1012,Osborne Avenue,Osborne Avenue,Jesmond,England,,
99,1013,Wanderers,Wanderers,Windhoek,Namibia,,
0,1014,KORM College Ground,KORM College Ground,Kadapa,India,,
1,1015,St Paul's College Ground,St Paul's College Ground,Cochin,India,,
2,1016,Maulana Azad Stadium,Maulana Azad Stadium,Jammu,India,,
3,1017,CAP Ground 3,CAP Ground 3,Puducherry,India,,
4,1018,Sanosara Cricket Ground,Sanosara Cricket Ground,Rajkot ,India,,
5,1019,Gujarat College Cricket Ground 'B',Gujarat College Cricket Ground 'B',Ahmedabad,India,,
